"Region","TimePeriod","PopulationValue"
"Inverell",2018,17895
"Inverell",2019,17974
"Inverell",2020,17985
"Inverell",2021,17920
"Inverell",2022,17965
"Inverell",2023,18059
"Devonport",2013,25407
"Devonport",2014,25295
"Devonport",2015,25162
"Devonport",2016,25128
"Devonport",2017,25405
"Devonport",2018,25852
"Devonport",2019,26262
"Devonport",2020,26566
"Devonport",2021,26896
"Devonport",2022,26935
"Devonport",2023,26977
"Coffs Harbour",2013,72303
"Coffs Harbour",2014,73016
"Coffs Harbour",2015,73739
"Coffs Harbour",2016,74670
"Coffs Harbour",2017,75753
"Coffs Harbour",2018,76887
"Coffs Harbour",2019,77810
"Coffs Harbour",2020,78409
"Coffs Harbour",2021,78781
"Coffs Harbour",2022,79725
"Coffs Harbour",2023,80489
"Dardanup",2013,13824
"Dardanup",2014,14036
"Dardanup",2015,14190
"Dardanup",2016,14241
"Dardanup",2017,14413
"Dardanup",2018,14503
"Dardanup",2019,14706
"Dardanup",2020,14931
"Dardanup",2021,15197
"Dardanup",2022,15376
"Dardanup",2023,15685
"Narromine",2013,6761
"Narromine",2014,6721
"Narromine",2015,6668
"Narromine",2016,6617
"Narromine",2017,6596
"Narromine",2018,6584
"Narromine",2019,6565
"Narromine",2020,6521
"Narromine",2021,6448
"Narromine",2022,6429
"Narromine",2023,6443
"Sutherland Shire",2013,222549
"Sutherland Shire",2014,223921
"Sutherland Shire",2015,225218
"Sutherland Shire",2016,226461
"Sutherland Shire",2017,227428
"Sutherland Shire",2018,228239
"Sutherland Shire",2019,229213
"Sutherland Shire",2020,230379
"Sutherland Shire",2021,230994
"Sutherland Shire",2022,231845
"Sutherland Shire",2023,235029
"Loddon",2013,7518
"Loddon",2014,7513
"Loddon",2015,7531
"Loddon",2016,7558
"Loddon",2017,7569
"Loddon",2018,7602
"Loddon",2019,7629
"Loddon",2020,7657
"Loddon",2021,7703
"Loddon",2022,7750
"Loddon",2023,7747
"Wyndham",2013,190211
"Wyndham",2014,201512
"Wyndham",2015,213815
"Wyndham",2016,227008
"Wyndham",2017,241573
"Wyndham",2018,257010
"Wyndham",2019,273201
"Wyndham",2020,287292
"Wyndham",2021,296322
"Wyndham",2022,309398
"Wyndham",2023,324087
"Oberon",2013,5300
"Oberon",2014,5318
"Oberon",2015,5329
"Oberon",2016,5349
"Oberon",2017,5409
"Oberon",2018,5455
"Oberon",2019,5489
"Oberon",2020,5540
"Oberon",2021,5567
"Oberon",2022,5596
"Oberon",2023,5600
"Kellerberrin",2013,1251
"Kellerberrin",2014,1251
"Kellerberrin",2015,1249
"Kellerberrin",2016,1242
"Kellerberrin",2017,1220
"Kellerberrin",2018,1202
"Kellerberrin",2019,1191
"Kellerberrin",2020,1180
"Kellerberrin",2021,1177
"Kellerberrin",2022,1180
"Kellerberrin",2023,1166
"Wellington",2013,42721
"Wellington",2014,42948
"Wellington",2015,43172
"Wellington",2016,43530
"Wellington",2017,43872
"Wellington",2018,44233
"Wellington",2019,44676
"Wellington",2020,45105
"Wellington",2021,45469
"Wellington",2022,45818
"Wellington",2023,46124
"Charles Sturt",2013,111324
"Charles Sturt",2014,112846
"Charles Sturt",2015,114125
"Charles Sturt",2016,114980
"Charles Sturt",2017,116438
"Charles Sturt",2018,118160
"Charles Sturt",2019,120098
"Charles Sturt",2020,122119
"Charles Sturt",2021,123105
"Charles Sturt",2022,124865
"Charles Sturt",2023,127440
"Nungarin",2013,254
"Nungarin",2014,256
"Nungarin",2015,259
"Nungarin",2016,259
"Nungarin",2017,257
"Nungarin",2018,257
"Nungarin",2019,261
"Nungarin",2020,261
"Nungarin",2021,263
"Nungarin",2022,261
"Nungarin",2023,256
"Bass Coast",2013,31331
"Bass Coast",2014,31917
"Bass Coast",2015,32576
"Bass Coast",2016,33464
"Bass Coast",2017,34748
"Bass Coast",2018,36083
"Bass Coast",2019,37440
"Bass Coast",2020,38950
"Bass Coast",2021,40675
"Bass Coast",2022,41813
"Bass Coast",2023,42729
"Mareeba",2013,21379
"Mareeba",2014,21542
"Mareeba",2015,21812
"Mareeba",2016,22038
"Mareeba",2017,22227
"Mareeba",2018,22501
"Mareeba",2019,22681
"Mareeba",2020,23010
"Mareeba",2021,23171
"Mareeba",2022,23367
"Mareeba",2023,23702
"Mount Magnet",2013,661
"Mount Magnet",2014,615
"Mount Magnet",2015,563
"Mount Magnet",2016,507
"Mount Magnet",2017,542
"Mount Magnet",2018,560
"Mount Magnet",2019,599
"Mount Magnet",2020,643
"Mount Magnet",2021,699
"Mount Magnet",2022,701
"Mount Magnet",2023,701
"Belmont",2013,39919
"Belmont",2014,40531
"Belmont",2015,41055
"Belmont",2016,41448
"Belmont",2017,41683
"Belmont",2018,41872
"Belmont",2019,42719
"Belmont",2020,43614
"Belmont",2021,43868
"Belmont",2022,44364
"Belmont",2023,45976
"Toodyay",2013,4682
"Toodyay",2014,4620
"Toodyay",2015,4535
"Toodyay",2016,4461
"Toodyay",2017,4513
"Toodyay",2018,4520
"Toodyay",2019,4570
"Toodyay",2020,4611
"Toodyay",2021,4709
"Toodyay",2022,4814
"Toodyay",2023,4954
"Carrathool",2013,2797
"Carrathool",2014,2800
"Carrathool",2015,2766
"Carrathool",2016,2793
"Carrathool",2017,2825
"Carrathool",2018,2864
"Carrathool",2019,2863
"Carrathool",2020,2892
"Carrathool",2021,2873
"Carrathool",2022,2829
"Carrathool",2023,2765
"Edward River",2013,8929
"Edward River",2014,8962
"Edward River",2015,9012
"Edward River",2016,8991
"Edward River",2017,8847
"Edward River",2018,8728
"Edward River",2019,8657
"Edward River",2020,8547
"Edward River",2021,8437
"Edward River",2022,8456
"Edward River",2023,8430
"East Gippsland",2013,43809
"East Gippsland",2014,44277
"East Gippsland",2015,44868
"East Gippsland",2016,45600
"East Gippsland",2017,46219
"East Gippsland",2018,46881
"East Gippsland",2019,47464
"East Gippsland",2020,47874
