DATAFLOW,MEASURE: Measure,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2014,7970,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2015,7112,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2016,7065,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2017,7034,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2018,7023,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2019,7102,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2020,7263,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2021,7420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2022,7571,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),79399: Unincorporated NT,A: Annual,2023,7713,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2013,90226,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2014,91139,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2015,92261,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2016,93742,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2017,94597,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2018,95355,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2019,96068,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2020,96857,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2021,97216,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2022,97966,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),17550: Tweed,A: Annual,2023,98967,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2013,22195,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2014,23256,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2015,24757,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2016,25355,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2017,25203,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2018,24498,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2019,23331,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2020,23111,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2021,22879,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2022,23083,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),72300: Litchfield,A: Annual,2023,23415,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2013,506,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2014,450,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2015,396,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2016,342,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2017,362,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2018,381,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2019,399,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2020,415,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2021,430,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2022,432,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),31950: Burke,A: Annual,2023,438,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2013,17715,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2014,17746,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2015,17764,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2016,17815,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2017,17840,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2018,17895,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2019,17974,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2020,17985,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2021,17920,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2022,17965,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),14220: Inverell,A: Annual,2023,18059,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2013,25407,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2014,25295,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2015,25162,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2016,25128,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2017,25405,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2018,25852,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2019,26262,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2020,26566,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2021,26896,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2022,26935,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),61610: Devonport,A: Annual,2023,26977,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),11800: Coffs Harbour,A: Annual,2013,72303,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),11800: Coffs Harbour,A: Annual,2014,73016,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),11800: Coffs Harbour,A: Annual,2015,73739,PSNS: Persons,,,30-6: Year Ending 30 June
