"TimePeriod","Region","ObsValue","State","Rank"
2014,"Port Adelaide Enfield",121422,"South Australia",3
2013,"Port Adelaide Enfield",119876,"South Australia",3
2017,"Darwin",86339,"Northern Territory",1
2018,"Darwin",85788,"Northern Territory",1
2023,"Darwin",85465,"Northern Territory",1
2016,"Darwin",85323,"Northern Territory",1
2019,"Darwin",85308,"Northern Territory",1
2020,"Darwin",85109,"Northern Territory",1
2022,"Darwin",84877,"Northern Territory",1
2021,"Darwin",84854,"Northern Territory",1
2015,"Darwin",84363,"Northern Territory",1
2014,"Darwin",83098,"Northern Territory",1
2013,"Darwin",82996,"Northern Territory",1
2022,"Launceston",71889,"Tasmania",1
2021,"Launceston",71788,"Tasmania",1
2023,"Launceston",71788,"Tasmania",1
2020,"Launceston",71019,"Tasmania",1
2019,"Launceston",69888,"Tasmania",1
2018,"Launceston",68716,"Tasmania",1
2017,"Launceston",67537,"Tasmania",1
2013,"Launceston",66722,"Tasmania",1
2014,"Launceston",66576,"Tasmania",1
2016,"Launceston",66518,"Tasmania",1
2015,"Launceston",66492,"Tasmania",1
2023,"Clarence",63663,"Tasmania",2
2022,"Clarence",63084,"Tasmania",2
2021,"Clarence",62336,"Tasmania",2
2020,"Clarence",60771,"Tasmania",2
2019,"Clarence",59447,"Tasmania",2
2018,"Clarence",58064,"Tasmania",2
2017,"Clarence",56636,"Tasmania",2
2020,"Hobart",56208,"Tasmania",3
2022,"Hobart",56018,"Tasmania",3
2023,"Hobart",55964,"Tasmania",3
2021,"Hobart",55947,"Tasmania",3
2019,"Hobart",55482,"Tasmania",3
2016,"Clarence",55465,"Tasmania",2
2015,"Clarence",54829,"Tasmania",2
2018,"Hobart",54286,"Tasmania",3
2014,"Clarence",54219,"Tasmania",2
2013,"Clarence",53685,"Tasmania",2
2017,"Hobart",53231,"Tasmania",3
2016,"Hobart",52018,"Tasmania",3
2015,"Hobart",51591,"Tasmania",3
2014,"Hobart",51232,"Tasmania",3
2013,"Hobart",50839,"Tasmania",3
2023,"Palmerston",41113,"Northern Territory",2
2022,"Palmerston",40467,"Northern Territory",2
2021,"Palmerston",39530,"Northern Territory",2
2020,"Palmerston",38902,"Northern Territory",2
2019,"Palmerston",38200,"Northern Territory",2
2018,"Palmerston",37596,"Northern Territory",2
2017,"Palmerston",36797,"Northern Territory",2
2016,"Palmerston",36013,"Northern Territory",2
2015,"Palmerston",35414,"Northern Territory",2
