"Age","State","Male_Pct","Female_Pct"
"55-59","Australian Capital Territory",2.45319311819287,2.54175682079896
"60-64","New South Wales",2.80135697246497,2.95014444804066
"60-64","Victoria",2.64082226462531,2.8236116333257
"60-64","Queensland",2.80555070239036,2.9627383133035
"60-64","South Australia",3.03071351127896,3.22256839451193
"60-64","Western Australia",2.76003360921417,2.83233572594966
"60-64","Tasmania",3.35223964887939,3.53630605222884
"60-64","Northern Territory",2.425897313296,2.33303432769174
"60-64","Australian Capital Territory",2.20208392751072,2.39036221053286
"65-69","New South Wales",2.42630752448424,2.62522626197241
"65-69","Victoria",2.28227050215291,2.51008238871377
"65-69","Queensland",2.41975153991847,2.5882021568565
"65-69","South Australia",2.69201273851664,2.92655600786416
"65-69","Western Australia",2.33582651375838,2.49215166591359
"65-69","Tasmania",3.02628872628141,3.22499677535184
"65-69","Northern Territory",1.84184840809133,1.74068702802882
"65-69","Australian Capital Territory",1.80258228597284,2.09336286886353
"70-74","New South Wales",2.10381079104782,2.2807206818427
"70-74","Victoria",1.95412984411998,2.18626940835072
"70-74","Queensland",2.14454960246167,2.27706848310567
"70-74","South Australia",2.39923840896985,2.65666394849762
"70-74","Western Australia",1.99546906735124,2.13403945510905
"70-74","Tasmania",2.71288778572997,2.85128619885447
"70-74","Northern Territory",1.35066248849092,1.22974302638494
"70-74","Australian Capital Territory",1.62588376067643,1.93532061990303
"75-79","New South Wales",1.71125975473802,1.85253113724362
"75-79","Victoria",1.5751719811771,1.76685142671797
"75-79","Queensland",1.71776408635777,1.82327006637299
"75-79","South Australia",1.93592640543821,2.17268234713807
"75-79","Western Australia",1.55704428946785,1.6467197205844
"75-79","Tasmania",2.13558861158851,2.27555577246883
"75-79","Northern Territory",0.84722655802356,0.788347473534049
"75-79","Australian Capital Territory",1.32952773888075,1.55683409423778
"80-84","New South Wales",1.04223157238585,1.21749919085122
"80-84","Victoria",0.982866944156381,1.16989596996386
"80-84","Queensland",0.994166312294038,1.12968866121134
"80-84","South Australia",1.16553865349713,1.42156103494781
"80-84","Western Australia",0.935419471913662,1.07194390049287
"80-84","Tasmania",1.27661206262441,1.42773476310166
"80-84","Northern Territory",0.449693947309147,0.433097158392641
"80-84","Australian Capital Territory",0.771769408424488,0.968839729719877
"85-89","New South Wales",0.583258412150418,0.790232675225663
"85-89","Victoria",0.555248380091568,0.760072229673815
"85-89","Queensland",0.507641079680914,0.668637967428485
"85-89","South Australia",0.665636604724433,0.912646393910726
"85-89","Western Australia",0.506634976261672,0.67693506992499
"85-89","Tasmania",0.654167814176599,0.864205708150168
"85-89","Northern Territory",0.156484009784202,0.201137275202422
"85-89","Australian Capital Territory",0.414297998631873,0.600646322033062
"90-94","New South Wales",0.244051258076504,0.407619184617782
"90-94","Victoria",0.229528287535012,0.393701307208048
"90-94","Queensland",0.19581148035457,0.331974813354592
"90-94","South Australia",0.28457125155764,0.480959414731973
"90-94","Western Australia",0.201683026826686,0.335884078033577
"90-94","Tasmania",0.247862145419431,0.435414654892924
